,t1,trgt,pt,sl
2010-07-07 12:46:46,2010-07-07 15:22:44,0.011653992741774147,1,1
2010-07-07 13:18:59,2010-07-07 15:57:30,0.011747997863964984,1,1
2010-07-07 13:42:17,2010-07-07 15:57:30,0.011941498657954117,1,1
2010-07-07 14:19:02,2010-07-08 09:33:12,0.012381692815465244,1,1
2010-07-07 14:34:26,2010-07-08 09:33:12,0.012798233144597342,1,1
2010-07-07 14:51:41,2010-07-08 09:33:12,0.01313360827463585,1,1
2010-07-07 14:53:36,2010-07-08 09:33:12,0.013451251367366778,1,1
2010-07-07 15:04:15,2010-07-08 09:33:12,0.01377415338542381,1,1
2010-07-07 15:13:52,2010-07-08 09:33:12,0.014322907843108053,1,1
2010-07-07 15:22:44,2010-07-09 10:26:15,0.014890422005659225,1,1
2010-07-07 15:37:54,2010-07-09 10:26:15,0.01538983582729323,1,1
2010-07-07 15:45:07,2010-07-09 14:58:24,0.015954648009880636,1,1
2010-07-07 15:57:30,2010-07-09 16:00:00,0.016341236109819437,1,1
2010-07-07 16:10:01,2010-07-09 14:58:24,0.016656436358271784,1,1
2010-07-08 09:33:12,2010-07-13 09:33:07,0.017061429990077107,1,1
2010-07-08 09:52:32,2010-07-13 09:33:07,0.01737353872400941,1,1
2010-07-08 10:11:35,2010-07-13 09:33:07,0.017455341904677395,1,1
2010-07-08 10:13:54,2010-07-13 09:33:07,0.017569012005919236,1,1
2010-07-08 10:31:10,2010-07-13 09:33:07,0.01766342634485685,1,1
2010-07-08 10:47:50,2010-07-13 09:33:07,0.017619949010544457,1,1
2010-07-08 11:05:18,2010-07-12 15:42:09,0.017492824050438217,1,1
2010-07-08 11:42:16,2010-07-13 09:33:07,0.017393245625009837,1,1
2010-07-08 12:16:27,2010-07-12 15:42:09,0.01727590551809845,1,1
2010-07-08 13:03:20,2010-07-12 15:30:29,0.01716353934516989,1,1
2010-07-08 13:30:52,2010-07-13 09:33:07,0.01701339514662007,1,1
2010-07-08 14:08:57,2010-07-12 15:30:29,0.016860516294480855,1,1
2010-07-08 14:39:29,2010-07-09 14:58:24,0.016697546729013163,1,1
2010-07-08 14:59:25,2010-07-13 09:33:07,0.01654355514112993,1,1
2010-07-08 15:02:48,2010-07-12 15:42:09,0.01638796856298043,1,1
2010-07-08 15:40:32,2010-07-13 09:33:07,0.01622595630890134,1,1
2010-07-08 15:45:36,2010-07-13 09:33:07,0.0160649763522254,1,1
2010-07-08 15:52:57,2010-07-13 09:33:07,0.01590539841401367,1,1
2010-07-08 15:56:11,2010-07-13 09:33:07,0.015590745405601018,1,1
2010-07-09 09:31:54,2010-07-13 09:33:07,0.015435625660518091,1,1
2010-07-09 10:26:15,2010-07-13 09:33:07,0.0152866255105187,1,1
2010-07-09 11:16:21,2010-07-13 09:33:07,0.015135718418121257,1,1
2010-07-09 11:58:48,2010-07-13 09:33:07,0.014986173255491175,1,1
2010-07-09 12:39:03,2010-07-13 09:33:07,0.014837107525324734,1,1
2010-07-09 13:32:02,2010-07-13 09:33:07,0.014690013501461156,1,1
2010-07-09 14:58:24,2010-07-13 10:09:19,0.014310077021893854,1,1
2010-07-09 15:40:07,2010-07-13 09:57:31,0.014064439616067972,1,1
2010-07-09 15:52:36,2010-07-13 09:57:31,0.013925197595039109,1,1
2010-07-09 16:00:00,2010-07-13 10:09:19,0.013786739811930715,1,1
2010-07-12 09:37:58,2010-07-13 09:33:07,0.013740454859734479,1,1
2010-07-12 09:45:41,2010-07-13 10:09:19,0.013666088110706243,1,1
2010-07-12 10:37:13,2010-07-13 09:57:31,0.013518453468424379,1,1
2010-07-12 10:48:59,2010-07-13 09:33:07,0.0134797617712277,1,1
2010-07-12 11:00:55,2010-07-13 09:33:07,0.013468523004135287,1,1
2010-07-12 11:13:19,2010-07-13 09:33:07,0.013467382851211697,1,1
2010-07-12 11:56:11,2010-07-13 09:33:07,0.013423542995303578,1,1
2010-07-12 12:14:32,2010-07-13 09:47:17,0.013341529247325012,1,1
2010-07-12 12:48:29,2010-07-13 09:47:17,0.013263420951186804,1,1
2010-07-12 13:10:12,2010-07-13 09:33:07,0.013195024258395272,1,1
2010-07-12 13:41:09,2010-07-13 09:57:31,0.013105495197440304,1,1
2010-07-12 14:21:24,2010-07-13 09:33:07,0.013024428927323592,1,1
2010-07-12 14:51:55,2010-07-13 09:57:31,0.012925818765170483,1,1
2010-07-12 15:13:02,2010-07-13 09:47:17,0.012835024518330278,1,1
2010-07-12 15:30:29,2010-07-13 10:09:19,0.01273100814243012,1,1
2010-07-12 15:42:09,2010-07-13 10:09:19,0.012622667798768937,1,1
2010-07-12 15:50:00,2010-07-13 09:57:31,0.012524496485546453,1,1
2010-07-13 09:33:07,2010-07-16 09:57:04,0.012330182286289184,1,1
2010-07-13 09:47:17,2010-07-16 09:57:04,0.012243657993159499,1,1
2010-07-13 09:57:31,2010-07-16 09:55:12,0.012165021285636584,1,1
2010-07-13 10:09:19,2010-07-15 10:12:46,0.012143124586737938,1,1
2010-07-13 10:18:48,2010-07-15 10:21:15,0.012101594768792055,1,1
2010-07-13 10:42:15,2010-07-16 09:55:12,0.01203040105291127,1,1
2010-07-13 10:59:20,2010-07-16 09:53:27,0.012008697240075564,1,1
2010-07-13 11:17:02,2010-07-15 10:21:15,0.01206427706724547,1,1
2010-07-13 11:24:31,2010-07-15 10:21:15,0.012102856476344272,1,1
2010-07-13 11:34:50,2010-07-15 10:12:46,0.012215562669699533,1,1
2010-07-13 11:43:13,2010-07-15 10:08:56,0.012336371393054869,1,1
2010-07-13 11:56:01,2010-07-15 10:12:46,0.01239578674950985,1,1
2010-07-13 12:09:44,2010-07-15 10:12:46,0.012407388211758979,1,1
2010-07-13 12:20:16,2010-07-15 10:12:46,0.012376521864052685,1,1
2010-07-13 12:44:31,2010-07-15 10:12:46,0.012299445989222302,1,1
2010-07-13 13:03:25,2010-07-15 10:12:46,0.012254055591915962,1,1
2010-07-13 13:17:00,2010-07-15 10:21:15,0.012182842010689,1,1
2010-07-13 13:41:58,2010-07-15 10:21:15,0.012027557540737602,1,1
2010-07-13 13:55:27,2010-07-16 09:53:27,0.011844103938750584,1,1
2010-07-13 14:03:19,2010-07-15 10:12:46,0.011769287806794811,1,1
2010-07-13 14:07:00,2010-07-15 10:12:46,0.011691551101484302,1,1
2010-07-13 14:13:25,2010-07-15 10:12:46,0.011609057205088608,1,1
2010-07-13 14:28:04,2010-07-15 10:21:15,0.011532823632645352,1,1
2010-07-13 14:37:01,2010-07-15 10:12:46,0.011474572410954195,1,1
2010-07-13 14:54:49,2010-07-15 10:12:46,0.011398629454263043,1,1
2010-07-13 15:04:34,2010-07-15 10:08:56,0.011349974604621902,1,1
2010-07-13 15:25:59,2010-07-15 10:08:56,0.011299763515951616,1,1
2010-07-13 15:40:27,2010-07-15 10:08:56,0.01125316547302997,1,1
2010-07-13 15:46:02,2010-07-14 14:13:52,0.01120454219187011,1,1
2010-07-13 15:51:52,2010-07-15 10:08:56,0.011154533047872338,1,1
2010-07-13 15:58:59,2010-07-15 10:08:56,0.011078299787851697,1,1
2010-07-13 15:59:58,2010-07-15 10:12:46,0.010995672543197072,1,1
2010-07-14 09:34:48,2010-07-16 09:55:12,0.011000757792385903,1,1
2010-07-14 09:52:00,2010-07-16 09:55:12,0.011008928091335225,1,1
2010-07-14 10:16:24,2010-07-16 09:55:12,0.01114267302793863,1,1
2010-07-14 10:34:27,2010-07-15 10:21:15,0.011189604040473073,1,1
